Event_ID,Event_Name,Event_Date,Event_Type,Campaign_ID,Attributed_Sales,Marketing_Spend
EVT001396,FB Carousel Promo 2023-01,2023-01-01,FB_IG_Campaign,CAM01396,843.02,737.26
EVT001038,Shopee Payday Sale 2023-01,2023-01-01,Shopee_Ads_Campaign,CAM01038,4456.13,850.68
EVT000170,FBIG Awareness Burst 2023-01,2023-01-01,FB_IG_Campaign,CAM00170,1069.08,1335.32
EVT001989,FBIG Awareness Burst 2023-01,2023-01-02,FB_IG_Campaign,CAM01989,442.22,534.04
EVT001182,Shopee Daily Deals 2023-01,2023-01-02,Shopee_Ads_Campaign,CAM01182,2786.49,497.72
EVT000821,FB Carousel Promo 2023-01,2023-01-02,FB_IG_Campaign,CAM00821,535.88,595.77
EVT001828,FB Carousel Promo 2023-01,2023-01-02,FB_IG_Campaign,CAM01828,1405.21,1216.7
EVT002046,Shopee Voucher Blast 2023-01,2023-01-02,Shopee_Ads_Campaign,CAM02046,3460.56,838.78
EVT001600,Lazada Flash Sale 2023-01,2023-01-03,Lazada_Ads_Campaign,CAM01600,4946.96,838.09
EVT000947,CRM Winback 2023-01,2023-01-03,Email_Promo,CAM00947,434.58,74.88
EVT001088,Google Search Prospecting 2023-01,2023-01-03,Google_Ads_Campaign,CAM01088,1101.06,512.12
EVT001808,Shopee Daily Deals 2023-01,2023-01-03,Shopee_Ads_Campaign,CAM01808,4358.41,932.9
EVT001398,Shopee Payday Sale 2023-01,2023-01-03,Shopee_Ads_Campaign,CAM01398,2355.96,609.96
EVT001637,FB Carousel Promo 2023-01,2023-01-03,FB_IG_Campaign,CAM01637,1850.98,1467.67
EVT001138,Lazada Brand Mega 2023-01,2023-01-04,Lazada_Ads_Campaign,CAM01138,6777.3,1666.79
EVT000789,Google Shopping Promo 2023-01,2023-01-04,Google_Ads_Campaign,CAM00789,7181.59,2002.65
EVT001624,CRM Winback 2023-01,2023-01-04,Email_Promo,CAM01624,1827.57,353.95
EVT000013,Lazada Payday Deals 2023-01,2023-01-04,Lazada_Ads_Campaign,CAM00013,8168.07,1596.73
EVT000545,IG Story Promo 2023-01,2023-01-04,FB_IG_Campaign,CAM00545,1571.33,1214.7
EVT000253,Google Brand Campaign 2023-01,2023-01-04,Google_Ads_Campaign,CAM00253,7706.21,2095.02
EVT001509,Lazada Payday Deals 2023-01,2023-01-05,Lazada_Ads_Campaign,CAM01509,3903.16,861.91
EVT001728,New Product Teaser 2023-01,2023-01-05,Email_Promo,CAM01728,1504.86,365.95
EVT000769,New Product Teaser 2023-01,2023-01-05,Email_Promo,CAM00769,1635.49,209.22
EVT001619,Google Shopping Promo 2023-01,2023-01-05,Google_Ads_Campaign,CAM01619,3182.25,1012.23
EVT000091,Shopee Daily Deals 2023-01,2023-01-06,Shopee_Ads_Campaign,CAM00091,7328.05,1885.72
EVT001483,Google Shopping Promo 2023-01,2023-01-06,Google_Ads_Campaign,CAM01483,3968.59,1444.08
EVT001385,FB Carousel Promo 2023-01,2023-01-06,FB_IG_Campaign,CAM01385,1351.64,1273.05
EVT000437,IG Story Promo 2023-01,2023-01-06,FB_IG_Campaign,CAM00437,1488.19,1384.69
EVT001007,FBIG Awareness Burst 2023-01,2023-01-07,FB_IG_Campaign,CAM01007,869.41,912.79
EVT001558,Lazada Flash Sale 2023-01,2023-01-07,Lazada_Ads_Campaign,CAM01558,7934.59,1515.95
EVT000484,New Product Teaser 2023-01,2023-01-07,Email_Promo,CAM00484,592.97,142.6
EVT000910,FB Carousel Promo 2023-01,2023-01-07,FB_IG_Campaign,CAM00910,818.37,843.83
EVT001360,IG Story Promo 2023-01,2023-01-07,FB_IG_Campaign,CAM01360,856.88,897.07
EVT001690,VIP Loyalty Drop 2023-01,2023-01-07,Email_Promo,CAM01690,1598.44,251.46
EVT000187,New Product Teaser 2023-01,2023-01-08,Email_Promo,CAM00187,1147.74,254.62
EVT001291,Shopee Payday Sale 2023-01,2023-01-08,Shopee_Ads_Campaign,CAM01291,2301.59,634.08
EVT001794,IG Story Promo 2023-01,2023-01-08,FB_IG_Campaign,CAM01794,1154.59,1006.52
EVT000359,Shopee Voucher Blast 2023-01,2023-01-08,Shopee_Ads_Campaign,CAM00359,5445.52,1289.77
EVT000190,Shopee Payday Sale 2023-01,2023-01-09,Shopee_Ads_Campaign,CAM00190,4588.97,816.3
EVT000446,VIP Loyalty Drop 2023-01,2023-01-09,Email_Promo,CAM00446,1551.19,383.18
EVT000157,Shopee Payday Sale 2023-01,2023-01-09,Shopee_Ads_Campaign,CAM00157,6214.76,1542.17
EVT001729,Google Brand Campaign 2023-01,2023-01-09,Google_Ads_Campaign,CAM01729,3756.96,1017.08
EVT000788,Lazada Flash Sale 2023-01,2023-01-10,Lazada_Ads_Campaign,CAM00788,6507.16,1212.06
EVT002182,Google Brand Campaign 2023-01,2023-01-10,Google_Ads_Campaign,CAM02182,5414.17,1779.17
EVT000435,Lazada Brand Mega 2023-01,2023-01-11,Lazada_Ads_Campaign,CAM00435,3276.0,679.71
EVT002026,Google Search Prospecting 2023-01,2023-01-11,Google_Ads_Campaign,CAM02026,7638.41,2259.33
EVT001926,Google Shopping Promo 2023-01,2023-01-11,Google_Ads_Campaign,CAM01926,4130.97,1860.1
EVT002062,FBIG Awareness Burst 2023-01,2023-01-11,FB_IG_Campaign,CAM02062,885.9,703.76
EVT001183,Shopee Payday Sale 2023-01,2023-01-11,Shopee_Ads_Campaign,CAM01183,9486.12,2010.85
EVT000021,IG Story Promo 2023-01,2023-01-11,FB_IG_Campaign,CAM00021,1202.93,1166.83
EVT000659,New Product Teaser 2023-01,2023-01-12,Email_Promo,CAM00659,396.25,87.91
EVT002161,Google Search Prospecting 2023-01,2023-01-12,Google_Ads_Campaign,CAM02161,3218.42,814.51
EVT000585,Google Search Prospecting 2023-01,2023-01-12,Google_Ads_Campaign,CAM00585,2943.37,1427.44
EVT000988,Shopee Payday Sale 2023-01,2023-01-12,Shopee_Ads_Campaign,CAM00988,6293.98,1860.87
EVT001711,Shopee Voucher Blast 2023-01,2023-01-12,Shopee_Ads_Campaign,CAM01711,6125.22,1718.31
EVT001345,Lazada Brand Mega 2023-01,2023-01-13,Lazada_Ads_Campaign,CAM01345,3368.02,609.89
EVT001649,Google Search Prospecting 2023-01,2023-01-13,Google_Ads_Campaign,CAM01649,3514.84,883.72
EVT000752,New Product Teaser 2023-01,2023-01-13,Email_Promo,CAM00752,812.39,161.71
EVT000223,FB Carousel Promo 2023-01,2023-01-14,FB_IG_Campaign,CAM00223,1345.28,1400.22
EVT000183,Google Shopping Promo 2023-01,2023-01-14,Google_Ads_Campaign,CAM00183,1254.23,538.07
EVT000773,Lazada Payday Deals 2023-01,2023-01-14,Lazada_Ads_Campaign,CAM00773,6669.46,2068.47
EVT002058,CNY Promo - Google 2023-01,2023-01-15,Google_Ads_Campaign,CAM02058,9318.57,1868.3
EVT000476,CNY Promo - Google 2023-01,2023-01-15,Google_Ads_Campaign,CAM00476,3849.79,900.37
EVT001133,CNY Promo - Shopee 2023-01,2023-01-15,Shopee_Ads_Campaign,CAM01133,6512.66,1527.98
EVT000616,CNY Promo - Google 2023-01,2023-01-15,Google_Ads_Campaign,CAM00616,10697.95,2241.47
EVT002175,CNY Promo - Shopee 2023-01,2023-01-15,Shopee_Ads_Campaign,CAM02175,3674.09,554.44
EVT002069,CNY Promo - Lazada 2023-01,2023-01-16,Lazada_Ads_Campaign,CAM02069,15540.83,1942.62
EVT001686,CNY Promo - FB 2023-01,2023-01-16,FB_IG_Campaign,CAM01686,636.44,612.97
EVT000964,CNY Promo - Lazada 2023-01,2023-01-16,Lazada_Ads_Campaign,CAM00964,7276.41,1791.39
EVT000628,CNY Promo - FB 2023-01,2023-01-16,FB_IG_Campaign,CAM00628,1755.33,1168.81
EVT000944,CNY Promo - Google 2023-01,2023-01-16,Google_Ads_Campaign,CAM00944,4410.05,1448.83
EVT002152,CNY Promo - Shopee 2023-01,2023-01-16,Shopee_Ads_Campaign,CAM02152,5575.65,765.9
EVT000748,CNY Promo - Google 2023-01,2023-01-16,Google_Ads_Campaign,CAM00748,2386.33,688.46
EVT001795,CNY Promo - FB 2023-01,2023-01-16,FB_IG_Campaign,CAM01795,731.73,613.57
EVT002096,CNY Promo - Google 2023-01,2023-01-17,Google_Ads_Campaign,CAM02096,3123.86,699.66
EVT000768,CNY Promo - Lazada 2023-01,2023-01-17,Lazada_Ads_Campaign,CAM00768,4296.62,693.72
EVT000521,CNY Promo - Shopee 2023-01,2023-01-17,Shopee_Ads_Campaign,CAM00521,6428.48,789.28
EVT000655,CNY Promo - Shopee 2023-01,2023-01-17,Shopee_Ads_Campaign,CAM00655,4869.32,1223.92
EVT000166,CNY Promo - Email 2023-01,2023-01-17,Email_Promo,CAM00166,465.28,86.05
EVT001410,CNY Promo - Shopee 2023-01,2023-01-17,Shopee_Ads_Campaign,CAM01410,11857.71,1860.49
EVT000328,CNY Promo - FB 2023-01,2023-01-17,FB_IG_Campaign,CAM00328,906.95,546.98
EVT000787,CNY Promo - Email 2023-01,2023-01-17,Email_Promo,CAM00787,3917.19,323.8
EVT000764,CNY Promo - Google 2023-01,2023-01-18,Google_Ads_Campaign,CAM00764,5760.32,1490.98
EVT001381,CNY Promo - FB 2023-01,2023-01-18,FB_IG_Campaign,CAM01381,1843.16,984.58
EVT000371,CNY Promo - FB 2023-01,2023-01-18,FB_IG_Campaign,CAM00371,1373.79,922.7
EVT001793,CNY Promo - FB 2023-01,2023-01-18,FB_IG_Campaign,CAM01793,1462.95,899.95
EVT000724,CNY Promo - Lazada 2023-01,2023-01-19,Lazada_Ads_Campaign,CAM00724,4465.54,1056.42
EVT000643,CNY Promo - FB 2023-01,2023-01-19,FB_IG_Campaign,CAM00643,1314.12,970.41
EVT000143,CNY Promo - Lazada 2023-01,2023-01-19,Lazada_Ads_Campaign,CAM00143,10579.49,1281.46
EVT000444,CNY Promo - FB 2023-01,2023-01-20,FB_IG_Campaign,CAM00444,1082.31,845.87
EVT001405,CNY Promo - FB 2023-01,2023-01-20,FB_IG_Campaign,CAM01405,2312.22,1417.8
EVT000526,CNY Promo - FB 2023-01,2023-01-20,FB_IG_Campaign,CAM00526,2250.84,1175.39
EVT000743,CNY Promo - FB 2023-01,2023-01-20,FB_IG_Campaign,CAM00743,1319.93,1135.34
EVT000495,CNY Promo - Google 2023-01,2023-01-20,Google_Ads_Campaign,CAM00495,3932.34,1030.43
EVT000318,CNY Promo - Email 2023-01,2023-01-21,Email_Promo,CAM00318,1877.21,343.12
EVT000066,CNY Promo - FB 2023-01,2023-01-21,FB_IG_Campaign,CAM00066,771.54,584.09
EVT001567,CNY Promo - Shopee 2023-01,2023-01-21,Shopee_Ads_Campaign,CAM01567,10176.63,1414.26
EVT002118,CNY Promo - Lazada 2023-01,2023-01-21,Lazada_Ads_Campaign,CAM02118,2992.08,483.53
EVT000546,CNY Promo - Lazada 2023-01,2023-01-21,Lazada_Ads_Campaign,CAM00546,3798.72,529.35
EVT001180,CNY Promo - FB 2023-01,2023-01-22,FB_IG_Campaign,CAM01180,385.7,358.19
EVT001719,CNY Promo - Google 2023-01,2023-01-22,Google_Ads_Campaign,CAM01719,11170.65,2423.07
EVT001353,CNY Promo - Email 2023-01,2023-01-22,Email_Promo,CAM01353,930.74,136.72
EVT000148,CNY Promo - FB 2023-01,2023-01-23,FB_IG_Campaign,CAM00148,1545.45,1046.28
EVT000277,CNY Promo - Shopee 2023-01,2023-01-23,Shopee_Ads_Campaign,CAM00277,6592.23,1275.15
