event_id,campaign_id,event_name,event_type,start_date,end_date,marketing_spend_sgd,attributed_sales_sgd
EVT00001,CAM0001,Supermarket Sampling — CNY 2019,Supermarket Sampling,2019-01-18,2019-01-24,1654.69,308.23
EVT00002,CAM0001,Lazada Mega Day — CNY 2019,Lazada Mega Day,2019-02-08,2019-02-15,4831.08,172.97
EVT00003,CAM0001,TikTok Spark Ads — CNY 2019,TikTok Spark Ads,2019-01-27,2019-02-15,1926.3,2735.12
EVT00004,CAM0002,Meta Retargeting — Ramadan 2019,Meta Retargeting,2019-03-21,2019-03-29,4771.55,847.75
EVT00005,CAM0002,Lazada Mega Day — Ramadan 2019,Lazada Mega Day,2019-03-14,2019-03-26,5556.66,202.69
EVT00006,CAM0002,Corporate Gifting Push — Ramadan 2019,Corporate Gifting Push,2019-03-13,2019-04-01,1618.12,717.76
EVT00007,CAM0002,Supermarket Sampling — Ramadan 2019,Supermarket Sampling,2019-04-10,2019-04-20,5942.68,348.68
EVT00008,CAM0003,Lazada Mega Day — Mid‑Autumn 2019,Lazada Mega Day,2019-08-20,2019-08-30,3752.96,362.57
EVT00009,CAM0003,Meta Retargeting — Mid‑Autumn 2019,Meta Retargeting,2019-08-24,2019-09-10,4181.04,1365.34
EVT00010,CAM0004,Meta Retargeting — 11.11 Mega 2019,Meta Retargeting,2019-11-22,2019-11-30,8686.5,876.03
EVT00011,CAM0004,Supermarket Sampling — 11.11 Mega 2019,Supermarket Sampling,2019-11-20,2019-11-29,4407.29,464.21
EVT00012,CAM0004,Supermarket Sampling — 11.11 Mega 2019,Supermarket Sampling,2019-11-04,2019-11-24,7982.3,1388.72
EVT00013,CAM0005,Meta Retargeting — Xmas 2019,Meta Retargeting,2019-12-01,2019-12-11,2297.84,728.55
EVT00014,CAM0005,Meta Retargeting — Xmas 2019,Meta Retargeting,2019-12-03,2019-12-18,4423.06,1260.19
EVT00015,CAM0006,Supermarket Sampling — Back‑to‑School 2019,Supermarket Sampling,2019-07-22,2019-07-31,4386.46,468.92
EVT00016,CAM0006,Supermarket Sampling — Back‑to‑School 2019,Supermarket Sampling,2019-07-01,2019-07-15,1353.74,744.81
EVT00017,CAM0006,Website Promo — Back‑to‑School 2019,Website Promo,2019-07-10,2019-07-30,4687.61,227.15
EVT00018,CAM0007,Website Promo — National Day 2019,Website Promo,2019-08-06,2019-08-15,4178.4,172.84
EVT00019,CAM0007,Corporate Gifting Push — National Day 2019,Corporate Gifting Push,2019-08-04,2019-08-09,4916.18,69.44
EVT00020,CAM0007,Website Promo — National Day 2019,Website Promo,2019-08-01,2019-08-08,2459.86,213.1
EVT00021,CAM0008,Meta Retargeting — CNY 2020,Meta Retargeting,2020-01-23,2020-01-29,1846.6,782.35
EVT00022,CAM0008,TikTok Spark Ads — CNY 2020,TikTok Spark Ads,2020-01-27,2020-02-13,1650.67,1675.67
EVT00023,CAM0008,Corporate Gifting Push — CNY 2020,Corporate Gifting Push,2020-01-23,2020-01-29,2633.96,141.81
EVT00024,CAM0008,Shopee Flash Sale — CNY 2020,Shopee Flash Sale,2020-01-26,2020-02-10,2354.94,737.4
EVT00025,CAM0009,TikTok Spark Ads — Ramadan 2020,TikTok Spark Ads,2020-04-08,2020-04-17,4365.26,1737.64
EVT00026,CAM0009,Shopee Flash Sale — Ramadan 2020,Shopee Flash Sale,2020-03-16,2020-04-02,4625.68,321.1
EVT00027,CAM0009,Shopee Flash Sale — Ramadan 2020,Shopee Flash Sale,2020-03-30,2020-04-17,2486.83,514.67
EVT00028,CAM0010,Corporate Gifting Push — Mid‑Autumn 2020,Corporate Gifting Push,2020-09-12,2020-09-20,3195.7,143.43
EVT00029,CAM0010,Corporate Gifting Push — Mid‑Autumn 2020,Corporate Gifting Push,2020-09-01,2020-09-08,3384.46,272.35
EVT00030,CAM0011,Website Promo — 11.11 Mega 2020,Website Promo,2020-11-08,2020-11-16,5480.07,220.06
EVT00031,CAM0011,Meta Retargeting — 11.11 Mega 2020,Meta Retargeting,2020-11-05,2020-11-18,5015.73,2139.93
EVT00032,CAM0011,Meta Retargeting — 11.11 Mega 2020,Meta Retargeting,2020-11-19,2020-11-30,4522.91,1559.92
EVT00033,CAM0011,TikTok Spark Ads — 11.11 Mega 2020,TikTok Spark Ads,2020-11-11,2020-11-16,2405.74,584.9
EVT00034,CAM0012,Supermarket Sampling — Xmas 2020,Supermarket Sampling,2020-12-03,2020-12-18,5463.8,1053.4
EVT00035,CAM0012,Website Promo — Xmas 2020,Website Promo,2020-12-01,2020-12-11,4163.73,159.62
EVT00036,CAM0012,Website Promo — Xmas 2020,Website Promo,2020-12-04,2020-12-09,1916.33,161.19
EVT00037,CAM0013,Lazada Mega Day — Back‑to‑School 2020,Lazada Mega Day,2020-07-22,2020-07-31,5550.53,207.15
EVT00038,CAM0013,Website Promo — Back‑to‑School 2020,Website Promo,2020-07-12,2020-07-18,4152.19,201.73
EVT00039,CAM0014,Website Promo — National Day 2020,Website Promo,2020-08-07,2020-08-15,2263.55,93.23
EVT00040,CAM0014,Shopee Flash Sale — National Day 2020,Shopee Flash Sale,2020-08-02,2020-08-08,4893.2,242.73
EVT00041,CAM0014,Shopee Flash Sale — National Day 2020,Shopee Flash Sale,2020-08-02,2020-08-15,4885.88,774.08
EVT00042,CAM0015,Supermarket Sampling — CNY 2021,Supermarket Sampling,2021-01-11,2021-01-19,2986.12,808.83
EVT00043,CAM0015,Shopee Flash Sale — CNY 2021,Shopee Flash Sale,2021-01-20,2021-02-07,2859.5,647.07
EVT00044,CAM0016,Shopee Flash Sale — Ramadan 2021,Shopee Flash Sale,2021-04-08,2021-04-20,3299.33,377.53
EVT00045,CAM0016,Corporate Gifting Push — Ramadan 2021,Corporate Gifting Push,2021-03-14,2021-03-24,3118.89,358.76
EVT00046,CAM0016,Corporate Gifting Push — Ramadan 2021,Corporate Gifting Push,2021-03-20,2021-04-05,4634.78,576.52
EVT00047,CAM0017,Meta Retargeting — Mid‑Autumn 2021,Meta Retargeting,2021-08-19,2021-08-29,3471.75,1065.98
EVT00048,CAM0017,Lazada Mega Day — Mid‑Autumn 2021,Lazada Mega Day,2021-08-26,2021-09-08,6284.19,248.12
EVT00049,CAM0018,Supermarket Sampling — 11.11 Mega 2021,Supermarket Sampling,2021-11-01,2021-11-17,4854.63,563.11
EVT00050,CAM0018,TikTok Spark Ads — 11.11 Mega 2021,TikTok Spark Ads,2021-11-03,2021-11-12,5589.33,1163.3
EVT00051,CAM0019,Website Promo — Xmas 2021,Website Promo,2021-12-11,2021-12-17,2211.12,178.64
EVT00052,CAM0019,Supermarket Sampling — Xmas 2021,Supermarket Sampling,2021-12-07,2021-12-14,5393.67,271.06
EVT00053,CAM0020,TikTok Spark Ads — Back‑to‑School 2021,TikTok Spark Ads,2021-06-16,2021-07-03,2483.57,1178.33
EVT00054,CAM0020,Corporate Gifting Push — Back‑to‑School 2021,Corporate Gifting Push,2021-07-15,2021-07-31,3358.18,71.91
EVT00055,CAM0021,Website Promo — National Day 2021,Website Promo,2021-08-06,2021-08-15,5719.67,114.45
EVT00056,CAM0021,Lazada Mega Day — National Day 2021,Lazada Mega Day,2021-08-05,2021-08-15,1792.6,296.7
